Date,IBM,MSFT,HAS
10/27/2017,149.021347,83.001305,95.284035
10/30/2017,149.680725,83.080536,93.645943
10/31/2017,149.389816,82.37738,91.36647
11/1/2017,149.360733,82.37738,89.27449
11/2/2017,148.701355,83.238991,88.425858
11/3/2017,146.985016,83.328125,89.491585
11/6/2017,146.267441,83.65493,89.807358
11/7/2017,146.761978,83.456863,88.702156
11/8/2017,146.975311,83.744064,87.833786
11/9/2017,147.200562,83.278595,87.518013
11/10/2017,146.084061,83.06073,90.241531
11/13/2017,145.339722,83.12014,95.550446
11/14/2017,145.819641,83.238991,94.711678
11/15/2017,144.066559,82.592033,93.497932
11/16/2017,146.044876,82.810997,94.632736
11/17/2017,145.89798,82.01474,94.622864
11/20/2017,147.406219,82.144127,93.764359
11/21/2017,148.816528,83.328568,93.793968
11/22/2017,148.640259,82.72142,93.774231
11/24/2017,148.708786,82.87072,93.399261
11/27/2017,148.845901,83.477867,92.461807
11/28/2017,149.325806,84.483139,92.540749
11/29/2017,150.383545,82.95034,91.613167
11/30/2017,150.794876,83.776459,91.790787
12/1/2017,151.568573,83.866043,90.626389
12/4/2017,153.233536,80.700912,90.922424
12/5/2017,152.146423,81.208519,89.906036
12/6/2017,150.922195,82.39296,89.609993
12/7/2017,150.403122,82.104317,90.14286
12/8/2017,151.617538,83.76651,90.152725
12/11/2017,152.20517,84.831512,90.458626
12/12/2017,153.507767,85.179871,90.804008
12/13/2017,150.736115,84.950943,94.188675
12/14/2017,150.824249,84.294037,94.603134
12/15/2017,149.355179,86.443932,92.82692
12/18/2017,150.168076,85.976128,90.340225
12/19/2017,150.070129,85.428703,90.458626
12/20/2017,149.795898,85.120148,89.906036
12/21/2017,148.375809,85.100243,91.613167
12/22/2017,149.355179,85.110199,92.313789
12/26/2017,149.678391,85.00071,91.5737
12/27/2017,149.972198,85.309265,90.458626
12/28/2017,150.863419,85.319214,90.310608
12/29/2017,150.25621,85.14006,89.688942
1/2/2018,151.069092,85.548134,90.86322
1/3/2018,155.221664,85.946266,90.083656
1/4/2018,158.365463,86.702721,89.511322
1/5/2018,159.139175,87.777672,91.188858
1/8/2018,160.098969,87.867249,91.938812
1/9/2018,160.451538,87.807526,92.698639
1/10/2018,160.794312,87.409393,91.090172
1/11/2018,160.813919,87.668182,91.188858
1/12/2018,159.775772,89.181076,91.228325
1/16/2018,160.471146,87.93692,90.182335
1/17/2018,165.172134,89.718552,90.409302
1/18/2018,165.632446,89.678734,89.323822
1/19/2018,159.021652,89.579201,91.336868
1/22/2018,159.246918,91.181679,89.65934
1/23/2018,162.82164,91.470322,93.31044
1/24/2018,161.959778,91.390694,94.504448
1/25/2018,162.057724,91.898315,94.287361
1/26/2018,163.88916,93.620216,92.155907
1/29/2018,163.360291,93.480873,92.9552
1/30/2018,160.245865,92.306389,93.024277
1/31/2018,160.324219,94.565781,93.888
2/1/2018,159.051025,93.81929,95.049561
2/2/2018,155.750534,91.350883,93.441254
2/5/2018,149.384567,87.588554,90.671371
2/6/2018,152.136627,90.902985,93.252617
2/7/2018,150.677353,89.191025,101.482834
2/8/2018,145.969604,84.612534,95.784233
2/9/2018,147.86853,87.767715,97.025215
2/12/2018,149.737778,88.713272,95.933144
2/13/2018,149.09491,89.410004,94.870857
2/14/2018,153.060883,90.809998,96.012566
2/15/2018,154.297165,92.660004,96.657883
2/16/2018,154.465286,92,98.137138
2/20/2018,153.456497,92.720001,97.064919
2/21/2018,152.269684,91.489998,98.355553
2/22/2018,151.49823,91.730003,96.608238
2/23/2018,153.812546,94.059998,96.76709
2/26/2018,156.838959,95.419998,97.809517
2/27/2018,154.831238,94.199997,96.538742
2/28/2018,154.119141,93.769997,94.880791
3/1/2018,152.121323,92.849998,93.719231
3/2/2018,152.793854,93.050003,94.960213
3/5/2018,155.226837,93.639999,96.101921
3/6/2018,154.010345,93.32,95.178627
3/7/2018,156.581818,93.860001,93.540527
3/8/2018,154.49498,94.43,92.706581
3/9/2018,157.560928,96.540001,90.80043
3/12/2018,158.500504,96.769997,89.420456
3/13/2018,157.570831,94.410004,88.705643
3/14/2018,156.384003,93.849998,87.891556
3/15/2018,157.857635,94.18,87.514305
3/16/2018,158.500504,94.599998,87.107254
3/19/2018,155.622467,92.889999,85.826553
3/20/2018,154.485077,93.129997,85.081963
3/21/2018,154.969696,92.480003,85.975479
3/22/2018,150.420197,89.790001,84.049469
3/23/2018,147.255341,87.18,83.61264
3/26/2018,151.686142,93.779999,84.466438
3/27/2018,150.242188,89.470001,83.463722
3/28/2018,150.84549,89.389999,83.215523
3/29/2018,151.745483,91.269997,83.69207
4/2/2018,148.422394,88.519997,83.146034
4/3/2018,148.204803,89.709999,83.642426
4/4/2018,152.427917,92.330002,84.555786
4/5/2018,152.338898,92.379997,84.784134
4/6/2018,148.916901,90.230003,83.821129
4/9/2018,151.013626,90.769997,83.840981
4/10/2018,153.683975,92.879997,85.469154
4/11/2018,153.654297,91.860001,86.700218
4/12/2018,156.334564,93.580002,86.203819
4/13/2018,154.989487,93.080002,87.127113
4/16/2018,156.156525,94.169998,87.405098
4/17/2018,159.143372,96.07,85.439369
4/18/2018,147.156433,96.440002,84.873482
4/19/2018,146.0784,96.110001,83.3843
4/20/2018,143.309143,95,82.212807
4/23/2018,144.258606,95.349998,85.49894
4/24/2018,143.961899,93.120003,85.637932
4/25/2018,144.337723,92.309998,86.342812
4/26/2018,145.109161,94.260002,85.19117
4/27/2018,144.871796,95.82,86.729996
4/30/2018,143.368484,93.519997,88.089996
