#  xdot_1       err    ydot_1       err    xdot_2       err    ydot_2       err
  -12.762     0.051   -21.993     0.078   -12.865    0.0571   -21.783    0.0559
   -2.207     0.061    -4.522     0.071   -1.9953    0.0515    -4.429    0.0688
    6.459     0.024    13.304     0.032    6.6311    0.0651    13.719    0.0664
   -9.841      0.02    221.94      0.03   -9.9302    0.0494    222.13    0.0596
    2.412     0.023   -15.124     0.033    2.0247    0.1341   -14.436    0.1359
   -1.616     0.071    -0.282     0.087   -1.5959    0.0441   -0.2868    0.0598
    0.808     0.021    -5.464     0.029    1.2716    0.0454   -6.6754     0.059
   -3.571     0.019    -5.477     0.024    -3.559    0.0607   -5.3827    0.0668
   -4.397     0.058    -0.652     0.068    -4.778    0.0506   -0.5239    0.0537
   -1.692     0.049    -3.718     0.063   -1.7789    0.0603   -3.4544    0.0619
   93.761     0.021   -216.83     0.031    93.719    0.0451   -216.72    0.0498
   76.309     0.053    72.456     0.064    76.272    0.0552    72.556     0.056
   40.374      0.06    33.565     0.077    40.317    0.0605    33.821    0.0758
  -119.67     0.202   -123.58     0.227   -119.66    0.0472   -123.06     0.048
   -2.779     0.068    -2.769     0.088   -3.1004    0.0749   -2.6085    0.0885
    0.373     0.036    -3.083     0.044   -0.6715    0.0556   -3.0144      0.07
     9.92     0.026    11.475     0.027    9.7785    0.0773    11.659    0.0874
    -2.23      0.06     -2.71     0.081   -1.4756    0.0665   -2.9019    0.0666
   -3.489     0.132    -5.205     0.146   -3.5908    0.0471   -5.0943    0.0485
   -0.443     0.035    -5.621     0.044   -0.6415    0.0436   -5.2656    0.0536
   17.557     0.036     -1.03      0.04    10.596    0.2962    1.7743    0.3119
   -0.753     0.033     -1.17     0.034   -1.2451    0.0837    -0.284    0.0845
   -8.458     0.147     4.378      0.18   -8.4473     0.048    4.4819    0.0495
    1.935     0.163    -2.137      0.21    2.2536    0.0526   -1.9844    0.0584
   -2.491      0.23    -5.045     0.286   -2.7671    0.0491   -5.0363     0.049
    0.863     0.071    -5.779     0.089    2.0068    0.0622   -4.9692    0.0579
   -1.761     0.125    -3.661     0.149    -1.527    0.0645     -3.74    0.0937
    1.431     0.033    -1.694     0.034    1.3722    0.0739   -1.6063    0.0736
    6.715     0.025     7.097     0.033    6.7722     0.076    7.0298    0.0828
   -0.127     0.042    -11.91     0.044   -0.2248    0.0453   -11.798    0.0512
   13.299     0.053    11.113      0.06    13.181      0.05    11.267    0.0579
   18.892     0.025    29.913     0.029    18.901    0.0587    29.986    0.0585
    2.253     0.042     0.569      0.06    2.0868    0.0738    0.8944    0.0823
   11.271     0.077     4.623     0.083    11.116    0.0493    4.9075    0.0471
    4.015     0.038   -16.096     0.042    3.9191    0.2243   -16.088    0.2468
   46.207     0.029    22.161     0.035    46.117    0.0461    22.261    0.0659
   -1.197     0.039    -9.952     0.047   -0.8735    0.2253   -10.166     0.263
   -4.297     0.066    -6.589     0.074   -4.4053    0.0411    -6.387    0.0462
   25.335     0.066    20.112     0.074    25.187    0.0411    20.193    0.0486
   -8.435     0.086    -5.569     0.104   -8.5361    0.0445   -5.4326    0.0546
    1.473     0.029    -1.791     0.032   -0.2955    0.0735   -2.8001     0.075
