#  xdot_1       err    ydot_1       err    xdot_2       err    ydot_2       err
   -2.315     0.049   -12.836      0.05   -2.2193    0.0535   -11.161    0.0587
   -7.854      0.04   -23.053     0.039   -7.9769    0.0511    -22.96    0.0523
    0.603     0.054     -4.76      0.07    0.3547     0.066   -4.5457    0.0773
   28.105     0.067    28.471     0.071    27.951    0.0536    28.585    0.0556
   -1.055     0.034     -1.64     0.045   -1.1927    0.0641   -1.6931    0.0702
    5.129     0.061     3.084     0.069    5.0673    0.0514    3.2906    0.0612
   -2.304     0.021    -2.891     0.027    -2.341    0.0391   -2.8442    0.0513
    9.841      0.03    36.969     0.038    9.7807     0.086    36.434    0.0937
   -6.484     0.052    -8.738     0.073   -6.2754    0.0472   -9.2967    0.0639
   47.621      0.04    45.632     0.048    47.539    0.0501    45.703    0.0599
   39.923     0.026   -33.356     0.028    38.659     0.057   -33.192    0.0737
   20.653     0.065    23.925     0.069    20.578    0.0568    24.059    0.0572
  -59.493     0.142    132.52     0.155   -59.601    0.0392    132.76    0.0455
    1.013     0.048    -3.469     0.049    0.6408    0.0428   -3.6597    0.0469
    1.627     0.055    -2.554     0.064    1.4814    0.0452   -2.3506    0.0466
   -1.839     0.156     4.556     0.196    -1.887    0.0443    4.6789    0.0498
  -229.37     0.112   -104.45     0.112   -229.32    0.0588   -103.99    0.0577
  -12.501     0.112   -159.23      0.11     -12.7    0.0443   -159.05    0.0459
    0.427     0.032    -0.174     0.039   -0.2585    0.1056    0.2082    0.1292
       33     0.018   -31.957     0.023    33.156    0.0412   -31.722    0.0589
    9.108      0.03    10.589     0.034     8.566    0.0796    11.008    0.0818
    5.766     0.023     8.805     0.034    5.6678    0.0618    9.1504    0.0675
    0.163     0.061     0.587     0.077    0.0451    0.0364    0.8115    0.0453
    2.765     0.024     9.664     0.028    2.6511    0.0626    9.8028    0.0692
  -28.318      0.07   -36.755     0.068    -28.58    0.0423   -36.714    0.0521
    0.059     0.041    -4.715     0.045    0.1303    0.0594   -4.5124    0.0822
   -2.603     0.031    -8.178     0.038   -2.3636    0.1394   -8.6012    0.1508
   13.101     0.038   -38.049     0.042    12.953    0.0466   -37.799    0.0496
    3.826     0.054      4.15     0.068    3.7955    0.0373    4.2633    0.0494
   -6.362     0.045     2.972     0.055   -6.3004    0.0767    3.1555    0.0841
   -9.955     0.064    28.702     0.072   -10.135    0.0475     28.85    0.0513
     1.14     0.029    -4.226     0.044     1.111    0.0625    -3.991    0.0861
   -30.76      0.04   -121.42     0.042    -30.92    0.0522   -121.24    0.0523
   -0.195     0.076    -1.408     0.092   -0.3125    0.0454   -0.5599    0.0602
   -1.724     0.052    -2.455      0.06   -1.8818    0.0578   -2.4721    0.0801
   -51.49     0.173   -193.63     0.143   -51.675    0.0432   -193.45    0.0438
   17.928      0.04    -5.146     0.041    17.838     0.054   -4.8976    0.0538
   17.076     0.051     3.906      0.06    16.712    0.0947    4.1837    0.0935
    0.271     0.578    -4.015     0.678    0.2943     0.056    -4.455    0.0532
    3.137     0.032     3.364     0.038    3.0786    0.0567    3.5453    0.0688
    1.729     0.052     2.634     0.053    1.5621    0.0511    2.7933    0.0588
  -13.657     0.051   -36.948     0.049   -13.894    0.0504   -36.712    0.0604
    2.605     0.071     2.803     0.075    2.7352    0.0619    2.5438     0.054
   43.768     0.028    73.151     0.028    43.621    0.0488    73.327    0.0507
    8.651     0.051     4.215     0.059    8.5554    0.0505    4.5329    0.0649
    -0.56     0.054     0.186     0.056   -0.6051    0.0523    0.2894    0.0525
   -7.968     0.069     1.292     0.094   -8.0674    0.0517    1.4023      0.06
   20.121     0.027     4.674      0.04    20.044    0.0479    4.8466    0.0588
    6.001     0.069     2.338     0.089    5.9401    0.0406    2.5574    0.0472
    5.783      0.02     4.669     0.027    5.8012     0.073    4.8924    0.0843
   20.865     0.081   -25.005       0.1     20.89    0.0377   -24.962    0.0424
     1.95      0.03    79.608      0.03    0.9117    0.2453    80.352    0.2366
   -8.795     0.071   -11.803      0.08   -8.8995    0.0477   -11.757    0.0527
   -5.351     0.035   -87.817     0.041   -5.4001    0.0508   -87.735    0.0564
   17.365     0.055    13.742     0.069    17.285    0.0457    14.022    0.0509
  -69.423     0.042   -47.297     0.047   -69.595    0.0474   -47.174    0.0445
   -0.244     0.033    -8.491     0.042   -0.1764    0.0597   -8.3848    0.0589
   -7.261     0.054    -0.641     0.054   -7.2773    0.0484   -0.4097    0.0571
  -80.773     0.026   -92.989     0.032   -80.898    0.0398    -92.75    0.0492
    -1.42     0.042    -2.792     0.056   -1.4264    0.0525   -2.7633    0.0631
    4.136     0.018     0.478     0.023    4.0471    0.0508    0.6216    0.0563
   30.635     0.033     -14.7     0.048    30.965    0.0367   -14.586    0.0478
   -0.688     0.052     1.751     0.072   -0.7962    0.0842    1.8627    0.1237
  -190.08     0.148    189.87     0.164   -190.15    0.0508    189.89    0.0484
    10.83     0.066    174.92     0.063    10.692    0.1509     174.6    0.1475
    2.344     0.537    -2.845     0.668      2.54    0.0502   -3.8411    0.0509
   -0.206     0.049     1.509     0.053   -0.6611    0.0613    1.8417    0.0562
   -6.756     0.052    -6.512     0.074   -6.9477    0.0473   -6.2801    0.0586
    1.098     0.052    -8.103     0.051    1.6023    0.0413   -7.6441      0.05
    6.239     0.035     5.426      0.04    5.8573    0.1305    5.7028    0.1524
   -0.102      0.05    -5.359     0.055    0.0899    0.0786   -5.3041    0.0893
  -25.203     0.038   -100.91      0.05   -25.258    0.0489   -100.22    0.0473
    11.66     0.094      9.66     0.102    11.468    0.0497    9.8096    0.0555
   12.439     0.023    19.392     0.036    12.367      0.08    20.756    0.1239
   11.926     0.036     6.102     0.046    10.989    0.0542    6.8249    0.0687
   159.74     0.042    231.51     0.059    159.97    0.0512    231.44    0.0558
   14.474     0.048   -10.514     0.058    14.171    0.0519   -10.529    0.0693
    0.937     0.023    -4.205     0.032    1.0384    0.0537   -4.2224    0.0575
  -81.004     0.045    -6.143     0.048   -81.105    0.0413   -5.9396    0.0526
    -5.85     0.049    -3.668     0.054    -6.178     0.069   -3.4828    0.0807
   -2.045     0.055     -1.13     0.067   -2.2734    0.0716   -0.7132    0.0852
   -4.188     0.065    -26.93     0.079   -3.9108    0.0533    -27.51    0.0588
    0.244     0.081    -0.288     0.118      0.07    0.0401   -0.1274    0.0438
   -0.225     0.039   -15.557     0.045   -0.0533    0.1075   -15.316    0.0995
   -0.918     0.045    -2.631     0.049   -1.0858    0.0405   -2.8346    0.0472
   -61.24     0.023   -183.35     0.025   -61.524    0.1913   -183.67    0.2106
   18.935      0.04    18.993     0.043    18.873    0.0568    19.111    0.0575
    2.414     0.094    -2.729     0.104    2.3156    0.0523    -6.026    0.0516
   -0.004     0.038    -0.524     0.047   -0.2327    0.0544   -0.1713    0.0655
    9.524     0.045    -8.833     0.077    9.4852    0.0496    -8.782    0.0564
   -3.544     0.071    -4.925     0.084   -3.6855    0.0483   -4.8021    0.0587
    4.696     0.042    -0.366     0.054    4.6017    0.0529   -0.0438    0.0624
    1.978     0.041     3.247     0.044    0.5737    0.1217    3.7376     0.138
  -20.585     0.032    10.098     0.042   -20.691    0.0371    10.287    0.0457
    7.375     0.046   -14.564     0.048    7.2902    0.0545   -14.382    0.0532
   -0.886     0.077    -3.761     0.087   -1.1962    0.0418   -2.7014    0.0483
   12.333      0.04    -4.158     0.042    12.316    0.0391   -4.1359    0.0437
     18.4     0.037    26.182     0.043    18.512    0.0523     26.28     0.056
    6.133     0.057    -5.603      0.08    6.0252    0.0489    -5.532    0.0612
   -0.312     0.039    -1.197      0.04   -0.3421    0.1005   -0.0307    0.1095
    1.061      0.02    -4.056     0.033    0.9482    0.0556   -3.8081    0.0673
    6.382     0.028   -31.785     0.047    6.4398     0.043    -31.63    0.0574
    1.948     0.033    -4.591     0.043    1.8327    0.0505   -4.5384    0.0623
    3.517     0.049      1.61     0.051     3.272    0.0637    1.5451    0.0661
  -164.46     0.094   -100.94     0.109   -164.57    0.0476   -100.84    0.0533
   47.396     0.046    115.28     0.077    47.269    0.0447    115.29    0.0485
    2.391     0.037     8.347      0.04    4.2785    0.0581    5.8204     0.063
    4.288     0.021   -30.867     0.023    4.4099     0.049   -31.331    0.0544
  -14.313     0.034     9.679     0.039   -14.395    0.0481    9.6352     0.052
    2.341     0.045     6.564     0.058   -0.3439    0.0762    6.9363    0.0826
   23.756     0.033    13.087     0.042     23.64    0.0414    13.207    0.0446
   -0.136     0.044    -5.062     0.057    0.0263    0.0608   -4.8151    0.0669
    7.488     0.034     0.524     0.039     7.689    0.0726    1.3432    0.0768
    6.684     0.032    11.289     0.035    6.4898    0.0574    11.642    0.0548
    38.16     0.031    29.048     0.032    38.082    0.0367    29.187    0.0473
    8.005     0.063     8.929     0.074    7.9141     0.044    9.0791     0.054
   -0.497     0.063    -5.979     0.079   -0.5887    0.0629   -5.8372    0.0678
    4.999     0.021    78.471     0.031    4.8803    0.0419    78.745    0.0578
    0.612     0.059     1.098     0.071    0.5541     0.057    1.1999    0.0657
   -1.032     0.047    -2.971     0.066   -1.0131    0.0523   -2.8631    0.0628
    9.521     0.048     4.762     0.072    9.2326    0.0585    4.6427    0.0707
   -2.616      0.04    -9.091     0.045   -2.5842    0.0565   -8.9151    0.0543
   -3.337     0.158   -19.915     0.193   -3.5604    0.0376   -19.708    0.0454
    8.898     0.088     7.912      0.12    9.3095    0.0404    7.1218    0.0461
    77.83      0.06   -94.507     0.071    77.734    0.0453   -94.269     0.054
   -1.919     0.023    -3.778     0.032   -1.6874    0.0639   -3.6662    0.0716
    1.599     0.041     -4.63     0.066    1.4666    0.0503    -4.587    0.0576
